ZIP,Dependents,AGI,NumReturns,AvgAGI
10583,"13,920","7,431,065","18,850"," 394,221 "
10588,750,"103,327","1,300"," 79,482 "
10589,"1,720","549,880","4,520"," 121,655 "
10590,"2,100","517,180","3,150"," 164,184 "
10591,"6,680","1,343,081","11,670"," 115,088 "
10594,"1,510","295,803","2,520"," 117,382 "
10595,"1,850","368,211","3,150"," 116,892 "
10597,320,"170,827",510," 334,955 "
10598,"9,320","1,589,499","14,410"," 110,305 "
10601,"2,820","763,043","6,050"," 126,123 "
10603,"5,580","737,193","10,020"," 73,572 "
10604,"3,700","671,855","5,560"," 120,837 "
10605,"5,530","1,364,557","10,060"," 135,642 "
10606,"5,740","599,455","8,150"," 73,553 "
10607,"2,340","331,934","3,940"," 84,247 "
10701,"21,190","1,241,251","28,220"," 43,985 "
10703,"6,960","526,334","10,390"," 50,658 "
10704,"8,860","981,989","16,480"," 59,587 "
10705,"14,090","784,554","17,900"," 43,830 "
10706,"2,770","710,047","4,500"," 157,788 "
10707,"3,030","537,853","5,090"," 105,669 "
10708,"5,820","3,101,064","11,400"," 272,023 "
10709,"2,930","588,612","4,730"," 124,442 "
10710,"7,420","1,013,924","13,970"," 72,579 "
10801,"12,900","1,150,008","18,080"," 63,607 "
10803,"4,730","1,219,758","6,030"," 202,282 "
10804,"4,870","1,500,010","7,200"," 208,335 "
10805,"4,830","587,279","9,030"," 65,036 "
10901,"7,860","1,174,810","11,600"," 101,277 "
10913,"1,740","309,653","2,500"," 123,861 "
10916,"1,520","198,834","2,130"," 93,349 "
10917,750,"86,271","1,000"," 86,271 "
10918,"3,490","411,936","5,430"," 75,863 "
10919,370,"39,538",590," 67,014 "
10920,"2,850","362,354","4,460"," 81,245 "
10921,"1,460","152,046","2,160"," 70,392 "
10923,"2,900","289,198","4,750"," 60,884 "
10924,"3,940","537,044","6,050"," 88,768 "
10925,"1,310","166,231","2,540"," 65,445 "
10926,"1,170","126,226","1,880"," 67,141 "
10927,"4,600","229,613","5,980"," 38,397 "
10928,"1,180","115,592","2,240"," 51,604 "
10930,"3,370","375,681","4,390"," 85,577 "
10931,320,"26,416",490," 53,910 "
10940,"17,490","1,165,333","23,130"," 50,382 "
10941,"4,430","393,559","6,780"," 58,047 "
10950,"23,040","1,147,756","16,850"," 68,116 "
10952,"22,910","1,042,696","12,290"," 84,841 "
10954,"7,250","943,880","12,210"," 77,304 "
10956,"10,510","1,775,709","15,960"," 111,260 "
10958,"1,090","105,302","1,590"," 66,228 "
10960,"3,830","722,434","7,660"," 94,313 "
10962,"1,740","247,099","2,590"," 95,405 "
10963,780,"72,923","1,200"," 60,769 "
10964,420,"141,441",730," 193,755 "
10965,"4,660","711,628","7,560"," 94,131 "
10968,450,"148,956","1,210"," 123,104 "
10969,410,"37,634",610," 61,695 "
10970,"2,890","385,477","5,080"," 75,881 "
10973,730,"77,572","1,110"," 69,885 "
10974,"1,070","124,842","1,540"," 81,066 "
10975,60,"8,422",140," 60,157 "
10976,440,"55,212",840," 65,729 "
