Zip,Count,AGI,TotInc
10604,"5,560"," 120,837 "," 122,744 "
10605,"10,060"," 135,642 "," 138,331 "
10606,"8,150"," 73,553 "," 74,862 "
10607,"3,940"," 84,247 "," 85,370 "
10701,"28,220"," 43,985 "," 44,421 "
10703,"10,390"," 50,658 "," 51,092 "
10704,"16,480"," 59,587 "," 60,114 "
10705,"17,900"," 43,830 "," 44,271 "
10706,"4,500"," 157,788 "," 161,624 "
10707,"5,090"," 105,669 "," 107,227 "
10708,"11,400"," 272,023 "," 275,526 "
10709,"4,730"," 124,442 "," 126,339 "
10710,"13,970"," 72,579 "," 73,427 "
10801,"18,080"," 63,607 "," 64,408 "
10803,"6,030"," 202,282 "," 206,517 "
10804,"7,200"," 208,335 "," 213,441 "
10805,"9,030"," 65,036 "," 65,874 "
10901,"11,600"," 101,277 "," 103,004 "
10913,"2,500"," 123,861 "," 125,530 "
10916,"2,130"," 93,349 "," 94,911 "
10917,"1,000"," 86,271 "," 87,699 "
10918,"5,430"," 75,863 "," 76,782 "
10919,590," 67,014 "," 67,688 "
10920,"4,460"," 81,245 "," 82,144 "
10921,"2,160"," 70,392 "," 71,183 "
10923,"4,750"," 60,884 "," 61,476 "
10924,"6,050"," 88,768 "," 90,310 "
10925,"2,540"," 65,445 "," 66,177 "
10926,"1,880"," 67,141 "," 67,945 "
10927,"5,980"," 38,397 "," 38,795 "
10928,"2,240"," 51,604 "," 52,056 "
10930,"4,390"," 85,577 "," 86,533 "
10931,490," 53,910 "," 54,237 "
10940,"23,130"," 50,382 "," 50,863 "
10941,"6,780"," 58,047 "," 58,666 "
10950,"16,850"," 68,116 "," 68,880 "
10952,"12,290"," 84,841 "," 86,706 "
10954,"12,210"," 77,304 "," 78,217 "
10956,"15,960"," 111,260 "," 113,071 "
10958,"1,590"," 66,228 "," 67,174 "
10960,"7,660"," 94,313 "," 96,311 "
10962,"2,590"," 95,405 "," 96,588 "
10963,"1,200"," 60,769 "," 61,196 "
10964,730," 193,755 "," 198,123 "
10965,"7,560"," 94,131 "," 95,169 "
10968,"1,210"," 123,104 "," 125,911 "
10969,610," 61,695 "," 62,826 "
10970,"5,080"," 75,881 "," 76,825 "
10973,"1,110"," 69,885 "," 70,773 "
10974,"1,540"," 81,066 "," 82,173 "
